,id_str,created_at,text_tweet,text_concept,truncated,retweet_count,type,in_reply_to_status_id_str,in_reply_to_user_id_str
44,1207563716792705024,Thu Dec 19 07:30:00 +0000 2019,"What has #feminism got to do with the #CitizenshipAmendmentAct ?

@The_Silly_Wonka tells us.

#IndiaRejectsCAA #IndiaRejectsNRC 

https://t.co/kySZZuwGuj",feminism,True,3,hashtag,,
45,1207563716792705024,Thu Dec 19 07:30:00 +0000 2019,"What has #feminism got to do with the #CitizenshipAmendmentAct ?

@The_Silly_Wonka tells us.

#IndiaRejectsCAA #IndiaRejectsNRC 

https://t.co/kySZZuwGuj",citizenshipamendmentact,True,3,hashtag,,
46,1207563716792705024,Thu Dec 19 07:30:00 +0000 2019,"What has #feminism got to do with the #CitizenshipAmendmentAct ?

@The_Silly_Wonka tells us.

#IndiaRejectsCAA #IndiaRejectsNRC 

https://t.co/kySZZuwGuj",indiarejectscaa,True,3,hashtag,,
47,1207563716792705024,Thu Dec 19 07:30:00 +0000 2019,"What has #feminism got to do with the #CitizenshipAmendmentAct ?

@The_Silly_Wonka tells us.

#IndiaRejectsCAA #IndiaRejectsNRC 

https://t.co/kySZZuwGuj",indiarejectsnrc,True,3,hashtag,,
48,1207534787109490688,Thu Dec 19 05:35:02 +0000 2019,"#TBT to when the world turned orange, putting a spotlight on ending violence against women for #16days! https://t.co/9jeLf9pCFb",,False,169,,,
49,1207518418707968000,Thu Dec 19 04:30:00 +0000 2019,"#Sexism in workplaces is rampant in India. Here's a guide by @idr_online on how they can be safer and inclusive!

#workplacesafety 

https://t.co/8buRX1x50x",sexism,True,2,hashtag,,
50,1207518418707968000,Thu Dec 19 04:30:00 +0000 2019,"#Sexism in workplaces is rampant in India. Here's a guide by @idr_online on how they can be safer and inclusive!

#workplacesafety 

https://t.co/8buRX1x50x",workplacesafety,True,2,hashtag,,
51,1207513414181875713,Thu Dec 19 04:10:07 +0000 2019,"RT @FeminismInIndia: Why should you attend the #CAAProtests? Because protests work, and this is THE time to show up and display our resista…",,False,0,,,
52,1207507510778744833,Thu Dec 19 03:46:39 +0000 2019,RT @danwibg: Protests Erupt Against CAA And The Violence Against Students In India https://t.co/fXnkz0km81 via @FeminismInIndia #India #CAA…,,False,0,,,
53,1207507500045484032,Thu Dec 19 03:46:37 +0000 2019,RT @danwibg: In Photos: #CABProtests In Jantar Mantar And India Gate https://t.co/Eahhaz2uA8 via @FeminismInIndia,,False,0,,,
54,1207503319637217282,Thu Dec 19 03:30:00 +0000 2019,"#Socialmedia is valuable in mobilising and educating people. More #celebrities with massive influence need to come forth and take a stand! 

@The_Silly_Wonka shares 10 strong celebrity tweets against #CAA . #IndiaRejectsCAA_NRC

https://t.co/E0FA5LpLD6",socialmedia,True,0,hashtag,,
55,1207503319637217282,Thu Dec 19 03:30:00 +0000 2019,"#Socialmedia is valuable in mobilising and educating people. More #celebrities with massive influence need to come forth and take a stand! 

@The_Silly_Wonka shares 10 strong celebrity tweets against #CAA . #IndiaRejectsCAA_NRC

https://t.co/E0FA5LpLD6",celebrities,True,0,hashtag,,
56,1207503319637217282,Thu Dec 19 03:30:00 +0000 2019,"#Socialmedia is valuable in mobilising and educating people. More #celebrities with massive influence need to come forth and take a stand! 

@The_Silly_Wonka shares 10 strong celebrity tweets against #CAA . #IndiaRejectsCAA_NRC

https://t.co/E0FA5LpLD6",caa,True,0,hashtag,,
57,1207503319637217282,Thu Dec 19 03:30:00 +0000 2019,"#Socialmedia is valuable in mobilising and educating people. More #celebrities with massive influence need to come forth and take a stand! 

@The_Silly_Wonka shares 10 strong celebrity tweets against #CAA . #IndiaRejectsCAA_NRC

https://t.co/E0FA5LpLD6",indiarejectscaa_nrc,True,0,hashtag,,
58,1207489495291105280,Thu Dec 19 02:35:04 +0000 2019,"Whether she is the migrant or the one staying back, migration disproportionately affects women in many different ways: https://t.co/GCagSQBq9P 
#MigrantsDay #WomensProgress2019 https://t.co/PGetnmi19m",migrantsday,True,66,hashtag,,
59,1207489495291105280,Thu Dec 19 02:35:04 +0000 2019,"Whether she is the migrant or the one staying back, migration disproportionately affects women in many different ways: https://t.co/GCagSQBq9P 
#MigrantsDay #WomensProgress2019 https://t.co/PGetnmi19m",womensprogress2019,True,66,hashtag,,
