created_at,id_str,text,truncated,geo,coordinates,place,retweet_count,favourite_count,in_reply_to_status_id_str,in_reply_to_user_id_str,lang
Thu Dec 19 07:59:07 +0000 2019,1207571045315760128,"Update on #Delhi protests: Everyone is convening at Jantar Mantar after multiple venue changes, internet restrictions and metro shutdowns. See you all here! #IndiaAgainstCAA https://t.co/ri38cHtBWL",True,,,,25,,,,en
Thu Dec 19 07:30:00 +0000 2019,1207563716792705024,"What has #feminism got to do with the #CitizenshipAmendmentAct ?

@The_Silly_Wonka tells us.

#IndiaRejectsCAA #IndiaRejectsNRC 

https://t.co/kySZZuwGuj",True,,,,3,,,,en
Thu Dec 19 05:35:02 +0000 2019,1207534787109490688,"#TBT to when the world turned orange, putting a spotlight on ending violence against women for #16days! https://t.co/9jeLf9pCFb",False,,,,169,,,,en
Thu Dec 19 04:30:00 +0000 2019,1207518418707968000,"#Sexism in workplaces is rampant in India. Here's a guide by @idr_online on how they can be safer and inclusive!

#workplacesafety 

https://t.co/8buRX1x50x",True,,,,2,,,,en
Thu Dec 19 04:10:07 +0000 2019,1207513414181875713,"RT @FeminismInIndia: Why should you attend the #CAAProtests? Because protests work, and this is THE time to show up and display our resista…",False,,,,0,,,,en
Thu Dec 19 03:46:39 +0000 2019,1207507510778744833,RT @danwibg: Protests Erupt Against CAA And The Violence Against Students In India https://t.co/fXnkz0km81 via @FeminismInIndia #India #CAA…,False,,,,0,,,,en
Thu Dec 19 03:46:37 +0000 2019,1207507500045484032,RT @danwibg: In Photos: #CABProtests In Jantar Mantar And India Gate https://t.co/Eahhaz2uA8 via @FeminismInIndia,False,,,,0,,,,en
Thu Dec 19 03:30:00 +0000 2019,1207503319637217282,"#Socialmedia is valuable in mobilising and educating people. More #celebrities with massive influence need to come forth and take a stand! 

@The_Silly_Wonka shares 10 strong celebrity tweets against #CAA . #IndiaRejectsCAA_NRC

https://t.co/E0FA5LpLD6",True,,,,0,,,,en
Thu Dec 19 02:35:04 +0000 2019,1207489495291105280,"Whether she is the migrant or the one staying back, migration disproportionately affects women in many different ways: https://t.co/GCagSQBq9P 
#MigrantsDay #WomensProgress2019 https://t.co/PGetnmi19m",True,,,,66,,,,en
Wed Dec 18 23:35:05 +0000 2019,1207444200847020033,"The proportion of women migrants has ⬇️ in Seychelles and ⬆️ in Germany. What about your country?
Explore the #WomenCount #WomensProgress2019 data dashboard to find out: https://t.co/jqnguxJz40 #MigrantsDay https://t.co/lh9nljIPaI",True,,,,19,,,,en
Wed Dec 18 20:35:04 +0000 2019,1207398899532681219,"We.
Love.
Play.
Sing.
Work.
Learn.
Create.
Together.

#MigrantsDay #WeTogether
v @UNmigration https://t.co/fKFB3IVXkj",False,,,,47,,,,en
Wed Dec 18 20:03:52 +0000 2019,1207391046646284289,"RT @UNmigration: We 🤝 together.
We 🎓 together.
We 🎵 together.
We 🎙️ together.
We ♥️ together.
We 🎨 together.
We 💃 together.
We 📝 together.…",False,,,,0,,,,en
Wed Dec 18 18:51:52 +0000 2019,1207372929442439173,10 Powerful Tweets By Celebrities Against CAA And Why We Need More https://t.co/E0FA5L8aLy https://t.co/CER2ItLYZP,False,,,,5,,,,en
Wed Dec 18 18:45:16 +0000 2019,1207371266556080130,How You Can Build Better Workplaces https://t.co/8buRX1OGp7 https://t.co/Xky3XVYkc2,False,,,,0,,,,en
Wed Dec 18 18:40:53 +0000 2019,1207370162896351233,Why Are Feminists Opposing The Citizenship Amendment Act? https://t.co/kySZZuOhST https://t.co/JbbeZ7vrGL,False,,,,0,,,,en
Wed Dec 18 18:35:11 +0000 2019,1207368728536592387,Here Are 8 Young Women MPs Who Made News In 2019 https://t.co/m4Z1Nar66j https://t.co/qEdhmu8tfx,False,,,,1,,,,en
Wed Dec 18 17:35:05 +0000 2019,1207353602634928129,"This is Anis.

When she was a student she decided that she wanted to better the conditions of Indonesian migrant workers. 

This #MigrantsDay, find out how she did just that: https://t.co/RuyA9CDBsq #WomensProgress2019 https://t.co/chnAd7FymJ",True,,,,67,,,,en
Wed Dec 18 17:30:00 +0000 2019,1207352325230256128,"Protests against the #CitizenshipAmendmentAct are emerging across the country.  @HamsadhwaniA tells us how #Chennai raised its voice against the Act and the #PoliceViolence that followed.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence

https://t.co/IfL0XFERoc",True,,,,0,,,,en
Wed Dec 18 17:08:23 +0000 2019,1207346886186659840,"As of December 16, #Kashmir 's internet blockade became the longest ever to have been imposed by a democratic state.

We have no choice but to wonder, #AccheDinKahaanHai ? https://t.co/myC2SwLSkP",True,,,,20,,,,en
Wed Dec 18 16:30:00 +0000 2019,1207337225362563073,"“Are you going for the #protest in the evening?”—a very common question asked around in the workplaces, universities and localities in Delhi this week. 

@mira_cle12 gives us a glimpse of these protests. 

https://t.co/uSxS1JMSRy",True,,,,3,,,,en
Wed Dec 18 15:30:00 +0000 2019,1207322125578539008,"What the #police indulged in were acts of #violence against the unarmed protestors, thereby going against the very basic responsibility they were entrusted with – protecting the defenseless and capturing the real criminals. 

#IndiaRejectsCAA_NRC 

https://t.co/OefGMMbgzV",True,,,,4,,,,en
Wed Dec 18 15:07:00 +0000 2019,1207316337900441603,Many thanks to @ruchiks127 for volunteering her time to create this video! ♥️,False,,,,0,,1207316060350734336,2247560024,en
Wed Dec 18 15:05:54 +0000 2019,1207316060350734336,"Why should you attend the #CAAProtests? Because protests work, and this is THE time to show up and display our resistance publicly and openly. Join the national protest march on 19th Dec (tomorrow!) in your city. #IndiansAgainstCAA https://t.co/ZHTIuAWcPv",True,,,,304,,,,en
Wed Dec 18 14:35:04 +0000 2019,1207308303300276227,"Migrant 
rights
are 
human
rights.

#MigrantsDay #WomensProgress2019 https://t.co/6nsNTVTOJB",False,,,,128,,,,en
Wed Dec 18 14:30:00 +0000 2019,1207307027799793667,"Fire is an apt representation of the suppression of female #sexuality and the denial of a woman’s agency in a patriarchal society, in addition to being one of the first #Bollywood films to explore the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",True,,,,1,,,,en
Wed Dec 18 13:30:00 +0000 2019,1207291927244107776,"On Saturday, #DelhiPolice entered #JamiaMilliaIslamia University and violently used their arms at the students and the university staff.

@The_Silly_Wonka questions: Who turned the #protest violent?

https://t.co/AAitlcLdT7",True,,,,3,,,,en
Wed Dec 18 13:09:11 +0000 2019,1207286686847127552,RSVP: https://t.co/x8UIv1ntR8,False,,,,1,,1207286684146028545,2247560024,en
Wed Dec 18 13:09:10 +0000 2019,1207286684146028545,"In light of the passing of the #CitizenshipAmendmentAct and the violence against the protestors, FII has decided to replace the Feminist Potluck Picnic with a feminist solidarity meet to discuss how we can collectively amplify dissenting voices and share learnings. https://t.co/RxWbw8ENLp",True,,,,27,,,,en
Wed Dec 18 12:50:17 +0000 2019,1207281932137971712,"RT @harsh_mander: Spent a harrowing day in AMU on 17th. The police violence there surpasses Jamia, worse than what I have seen in any campu…",False,,,,0,,,,en
Wed Dec 18 11:35:03 +0000 2019,1207263000610168833,"Regardless of their legal status, women and their families must have the right to public services, such as health, education and childcare. 
#WomensProgress2019 #MigrantsDay https://t.co/ZDk0T6elta",True,,,,139,,,,en
Wed Dec 18 11:30:00 +0000 2019,1207261726988619778,"When students are bullied to the extent that they commit suicide, the question that remains is “Whose campus is it anyway”?

#EducationForAll 

https://t.co/pe0EWLcRxY",True,,,,4,,,,en
Wed Dec 18 11:00:00 +0000 2019,1207254179841839104,"#BreastShaming is one of the most common abuses that exist in urban space, and it needs to STOP.

@Astha25646794 highlights the various forms of breast shaming.

#BodyShaming 

https://t.co/o28T8mwokM",True,,,,1,,,,en
Wed Dec 18 10:49:10 +0000 2019,1207251451367641088,"RT @RatZest: #CAB_FactsVsDistortion 

Courtesy: @FeminismInIndia https://t.co/wwAoLih5Jo",False,,,,0,,,,en
Wed Dec 18 09:30:00 +0000 2019,1207231527978799105,"Around 200 individuals gathered at the Sir Puttanna Chetty Town Hall in #Bengaluru to peacefully #protest against the recent #policeviolence against students. @GurshabadGrover tells us more about it.

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/RJ9hLVrIaI",True,,,,3,,,,en
Wed Dec 18 08:35:02 +0000 2019,1207217698180075522,"The Convention on the Elimination of All Forms of Discrimination against Women (#CEDAW) is considered 𝗧𝗛𝗘 women’s human rights treaty. And today, it turns 40! Learn all about it: https://t.co/2Nl8MbyZtx",True,,,,485,,,,en
Wed Dec 18 08:30:00 +0000 2019,1207216428505542656,"How did #Chennai protest against the #CitizenshipAmendmentAct and the subsequent violence by the #police ?

@HamsadhwaniA tells us how people were united by their dissent towards the #Islamophobic government. 

https://t.co/IfL0XFERoc",True,,,,5,,,,en
Wed Dec 18 07:57:09 +0000 2019,1207208163239325697,"The #CAA has to be understood against the backdrop of NRC. Together, they empower the  Modi Govt. to decide who is a citizen and who isn't. The only category of people likely to be declared illegal immigrants will be Muslims. #FIIMythBusting #WednesdayWisdom #IndiaAgainstCAA https://t.co/EopArizWXm",True,,,,6,,,,en
Wed Dec 18 07:35:39 +0000 2019,1207202753560203264,"RT @mira_cle12: My photo essay published in @FeminismInIndia today! 

#CABProtests https://t.co/MOhN11nOlF",False,,,,0,,,,en
Wed Dec 18 07:30:00 +0000 2019,1207201329032187905,"This isn't just any #amendment , and #India has recognised its divisive power.

@mira_cle12 shows us photos which capture the outrage against the #CitizenshipAmendmentAct .

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/uSxS1JMSRy",True,,,,1,,,,en
Wed Dec 18 05:40:12 +0000 2019,1207173697829818368,Chennai Protests Against The Citizenship Amendment Act https://t.co/IfL0XFERoc https://t.co/Fdww28FMvl,False,,,,1,,,,en
Wed Dec 18 05:35:03 +0000 2019,1207172402817458176,"Today is #MigrantsDay! 

Migration can open up new opportunities for women, but it often requires families to navigate a complex web of policies and regulations that affects family life.

Learn more: https://t.co/GCagSQBq9P #WomensProgress2019 https://t.co/My2A84jj1Y",True,,,,125,,,,en
Wed Dec 18 04:30:00 +0000 2019,1207156030561497088,"Terming the attack on the students as state sponsored #violence would never be an exaggeration. 

#IndiaRejectsCAA #IndiaRejectsNRC #PoliceStopViolence 

https://t.co/OefGMMsRYv",True,,,,6,,,,en
Wed Dec 18 03:30:00 +0000 2019,1207140930987462657,"Loosely based on Ismat Chughtai’s 1942 story, #Lihaaf (The Quilt), 'Fire' was one of the first #Bollywood films that explored the theme of #homosexuality .

#FIIReviews

https://t.co/Q56wuv7kW9",True,,,,4,,,,en
Wed Dec 18 02:35:04 +0000 2019,1207127107496796162,"The #MeToo movement continues to spur a cultural reckoning in the US, yet there is still a long way to go to end sexual violence and get justice for survivors. @TheAtlantic  
https://t.co/0Nc7HlmrCs",True,,,,112,,,,en
Wed Dec 18 00:46:48 +0000 2019,1207099860899500032,"RT @Refugees: Everyone has a part to play in helping refugees. What will yours be?

#EveryoneCounts https://t.co/j6ike8Hgcv",False,,,,0,,,,en
